quarter,cash_rate,rate_change
2015Q1,2.338709677419355,
2015Q2,2.092741935483871,-0.24596774193548399
2015Q3,2.0,-0.092741935483871
2015Q4,2.0,0.0
2016Q1,2.0,0.0
2016Q2,1.8373015873015872,-0.1626984126984128
2016Q3,1.5871212121212122,-0.25018037518037506
2016Q4,1.5,-0.08712121212121215
2017Q1,1.5,0.0
2017Q2,1.5,0.0
2017Q3,1.5,0.0
2017Q4,1.5,0.0
2018Q1,1.5,0.0
2018Q2,1.5,0.0
2018Q3,1.5,0.0
2018Q4,1.5,0.0
2019Q1,1.5,0.0
2019Q2,1.430327868852459,-0.069672131147541
2019Q3,1.0075757575757576,-0.4227521112767014
2019Q4,0.75390625,-0.25366950757575757
2020Q1,0.6388888888888888,-0.11501736111111116
2020Q2,0.25,-0.38888888888888884
2020Q3,0.25,0.0
2020Q4,0.15625,-0.09375
2021Q1,0.1,-0.056249999999999994
2021Q2,0.1,0.0
2021Q3,0.1,0.0
2021Q4,0.1,0.0
2022Q1,0.1,0.0
2022Q2,0.39918032786885244,0.2991803278688524
2022Q3,1.7807692307692307,1.3815889029003783
2022Q4,2.8182539682539685,1.0374847374847378
2023Q1,3.3222222222222224,0.503968253968254
2023Q2,3.8418032786885243,0.5195810564663019
2023Q3,4.1,0.2581967213114753
2023Q4,4.242857142857142,0.14285714285714235
2024Q1,4.35,0.10714285714285765
2024Q2,4.35,0.0
2024Q3,4.35,0.0
2024Q4,4.35,0.0
2025Q1,4.233064516129032,-0.11693548387096797
2025Q2,3.985245901639344,-0.24781861448968767
2025Q3,3.7174242424242423,-0.2678216592151017
2025Q4,3.6,-0.11742424242424221
